Time (s),Temperature (K)
0.00023222427498857936,1797.7243615161965
0.0002322772002094054,1798.3592277287075
0.00023233012543023143,1798.9919797159303
0.00023238305065105747,1799.6226290469922
0.0002324359758718835,1800.2511872007105
0.00023251986631117434,1801.2432424705366
0.00023260375675046517,1802.23011722826
0.000232687647189756,1803.211855829865
0.00023277153762904683,1804.1885020915927
0.00023285542806833766,1805.1600992983958
0.0002329393185076285,1806.1266902122118
0.00023307599348141564,1807.6908548099716
0.0002332126684552028,1809.2420228946048
0.00023334934342898994,1810.7803708204053
0.00023348601840277708,1812.3060715527
0.00023362269337656423,1813.8192947524658
0.00023375936835035138,1815.3202068586727
0.00023397964333882947,1817.7136851650857
0.00023419991832730755,1820.076275724596
0.00023442019331578563,1822.4086256601436
0.0002346404683042637,1824.7113630012927
0.0002348607432927418,1826.985097411972
0.00023508101828121988,1829.2304208890914
0.00023530129326969796,1831.4479084327293
0.00023552156825817604,1833.638118682975
0.00023577080521791584,1836.0840898862784
0.00023602004217765563,1838.4965969542832
0.00023626927913739543,1840.8763790572993
0.00023651851609713523,1843.2241524717886
0.00023676775305687503,1845.5406114979041
0.00023701699001661483,1847.8264293354355
0.00023726622697635462,1850.0822589179052
0.00023751546393609442,1852.3087337021157
0.00023776470089583422,1854.5064684186432
0.00023801393785557402,1856.6760597897726
0.00023826317481531381,1858.8180872148466
0.0002385124117750536,1860.9331134194874
0.0002387616487347934,1863.0216850735835
0.0002389292916809003,1864.4118955457086
0.0002390969346270072,1865.7905358251353
0.00023926457757311408,1867.157760777518
0.00023943222051922097,1868.5137223670795
0.00023955609596079683,1869.508526542855
0.00023967997140237268,1870.4973215060825
0.00023980384684394853,1871.4801656455447
0.00023992772228552438,1872.4571165552727
0.00024005159772710023,1873.4282310502476
0.00024017547316867609,1874.3935651793017
0.00024029934861025194,1875.3531742363184
0.0002404232240518278,1876.307112774281
0.00024054709949340364,1877.25543462109
0.00024063634261940097,1877.9351797195823
0.0002407255857453983,1878.6120568902968
0.00024081482887139562,1879.286085578459
0.00024090407199739295,1879.957285045655
0.00024099331512339027,1880.6256743714705
0.0002410825582493876,1881.2912724549317
0.00024117180137538493,1881.9540980169238
0.00024126104450138225,1882.614169602903
0.00024135028762737958,1883.271505585006
0.00024153479028344256,1884.6218964013929
0.0002416610214493343,1885.5391833103997
0.00024178725261522605,1886.4511576330742
0.0002419134837811178,1887.35786867818
0.00024203971494700954,1888.2593651157315
0.0002421659461129013,1889.155694987191
0.00024229217727879304,1890.0469057159396
0.00024241840844468478,1890.9330441177426
0.0002426216079480881,1892.3489597290045
0.00024282480745149143,1893.7520407690117
0.00024302800695489475,1895.1424729939547
0.00024323120645829808,1896.5204384200777
0.0002434344059617014,1897.8861154244985
0.0002437766361792519,1900.158906668932
0.0002441188663968024,1902.3981488348659
0.0002444610966143529,1904.6046283796538
0.00024480332683190337,1906.7791062398117
0.00024514555704945387,1908.9223190009604
0.00024548778726700437,1911.0349798320524
0.00024583001748455487,1913.1177793488148
0.00024617224770210537,1915.1713865239758
0.00024651447791965587,1917.1964496038704
0.00024685670813720637,1919.1935969541184
0.00024719893835475687,1921.1634378288268
0.00024754116857230737,1923.106563098591
0.0002477934751684143,1924.5223445849997
0.0002480457817645212,1925.9241410845982
0.0002482980883606281,1927.3121714661522
0.000248550394956735,1928.6866498590216
0.0002488027015528419,1930.0477857839026
0.00024905500814894883,1931.3957842803063
0.00024930731474505575,1932.7308460298707
0.00024955962134116266,1934.0531674758754
0.00024981192793726957,1935.3629409361301
0.0002499934140924606,1936.297418052587
0.00025012590353492827,1936.97561112757
0.00025025839297739596,1937.650459277901
0.00025039088241986365,1938.3219886483016
0.00025052337186233135,1938.9902251000087
0.00025065586130479904,1939.6551942156163
0.00025078835074726673,1940.3169213021463
0.00025088420205609163,1940.793649857194
0.00025098005336491653,1941.2687040366334
0.00025107590467374143,1941.742093160212
0.0002511717559825663,1942.2138264758914
0.0002512676072913912,1942.6839131603015
0.0002513634586002161,1943.1523623196856
0.000251459309909041,1943.6191829903685
0.0002515551612178659,1944.084384139942
0.0002516510125266908,1944.5479746673354
0.0002517468638355157,1945.0099634038706
0.0002518427151443406,1945.4703591132932
0.000251913691227818,1945.810252019908
0.00025198466731129543,1946.1492797289723
0.00025205564339477284,1946.4874457289634
0.00025212661947825025,1946.8247534887553
0.00025219759556172766,1947.1612064579583
0.00025226857164520507,1947.496808067043
0.0002523395477286825,1947.8315617273818
0.0002524527050592253,1948.363515043111
0.00025256586238976816,1948.8933353084046
0.000252679019720311,1949.4210360518884
0.00025279217705085385,1949.9466306834595
0.0002529632568733811,1950.7372948371326
0.00025313433669590837,1951.5232206970093
0.00025330541651843563,1952.3044531000116
0.0002534764963409629,1953.081036296683
0.00025364757616349015,1953.8530139614734
0.00025393728900902573,1955.1499267294037
0.0002542270018545613,1956.4339611944285
0.0002545167147000969,1957.7053186107435
0.00025480642754563247,1958.9641959015678
0.00025509614039116805,1960.2107857837605
0.00025538585323670363,1961.4452768789617
0.0002556755660822392,1962.6678538212238
0.0002559652789277748,1963.8786973640485
0.00025625499177331037,1965.0779844854171
0.00025654470461884595,1966.265888489291
0.0002569893060868539,1968.067128694191
0.00025743390755486183,1969.8425571327775
0.00025787850902286977,1971.5927527818453
0.0002583231104908777,1973.3182768293257
0.00025876771195888564,1975.0196734127317
0.0002592123134268936,1976.6974702328228
0.0002596569148949015,1978.3521791411106
0.00026010151636290946,1979.9842967526642
0.0002605461178309174,1981.5943050487986
0.00026099071929892533,1983.1826719351595
0.00026143532076693327,1984.749851754775
0.0002617453649974788,1985.8304257671646
0.0002619630160032605,1986.583040390199
0.00026218066700904217,1987.3308050527012
0.00026239831801482384,1988.073768715859
0.0002626159690206055,1988.8119796613464
0.0002628336200263872,1989.5454855040061
0.00026305127103216886,1990.2743332028397
0.0002632087086012605,1990.7986670794464
0.0002633661461703521,1991.3206052289781
0.0002635235837394437,1991.8401648027673
