X,temp,u,rho,X_CH4,X_CH3,X_CH2,X_CH,X_CH2O,X_HCO,X_CO2,X_CO,X_H2,X_H,X_O2,X_O,X_OH,X_HO2,X_H2O2,X_H2O,X_N2
0.015712060546875,1312.476575559813,4.35328038138786,0.2357026579776454,0.005159028404259346,0.0006510987875365426,6.814488344859263e-06,1.9982160463052597e-07,0.00037125759080732326,8.572177256393489e-05,0.003125179077355756,0.015639232776792047,0.05263533657486446,0.009145006941217657,0.10304918082746702,0.0022331784040270234,0.0024202221027831722,8.382577837285847e-05,6.365778060906815e-05,0.13522868104191232,0.670102377829482
0.01571337890625,1317.4541614939646,4.369894225998176,0.23480654307616214,0.004995547093725565,0.0006435461421134789,6.870962899883441e-06,2.045367444622507e-07,0.00036771867543320086,8.574579249899927e-05,0.0031765638047568097,0.015771387606568935,0.05214073736541663,0.009249821870254794,0.10235671364294675,0.0022854097143921266,0.00246843058349191,8.277980028782516e-05,6.24095377087754e-05,0.13618584575793993,0.6701202671128199
0.015714697265625,1322.369827638602,4.38630517557141,0.2339280364097105,0.004835251465073468,0.0006355887335514947,6.920682100060939e-06,2.0913984098153382e-07,0.0003639654938812253,8.569786614447976e-05,0.003228292926807467,0.01590067412876277,0.05164828433418531,0.009354258237359216,0.10166742946565001,0.002338281067755558,0.0025172522578581196,8.174226818963744e-05,6.118530346581754e-05,0.13713650357329396,0.6701384630560805
0.015716015625,1327.2233921522293,4.402512422813968,0.23306686234388516,0.004678173091696441,0.0006272470113982437,6.963530912498817e-06,2.1361885029504666e-07,0.0003600057422907501,8.557851684839705e-05,0.003280358937316013,0.01602703228253142,0.05115803345874253,0.009458279945994366,0.1009814841842557,0.002391776128623131,0.0025666745206303922,8.071356358338588e-05,5.998507262288437e-05,0.13808050746798764,0.6701569729257159
0.015717333984374998,1332.0147216879432,4.4185153208274,0.23222274504259113,0.004524338818273867,0.0006185420360036239,6.9994181005856965e-06,2.179619569826695e-07,0.0003558474896054742,8.538844349418695e-05,0.0033327542728624174,0.016150405942392306,0.05067004172923502,0.009561850983966926,0.10029903022847395,0.0024458774650382704,0.002616684132906409,7.969405844863936e-05,5.880882919182619e-05,0.13901771481122352,0.6701758033788261
0.01571865234375,1336.7437312604657,4.434313382927695,0.2313954085351284,0.0043737708045217885,0.0006094953865551579,7.028276518742567e-06,2.2215763566788198e-07,0.0003514991491532034,8.512851652018722e-05,0.003385471320867994,0.016270742999552112,0.05018436706734716,0.009664935474752083,0.09962021643860565,0.002500566562677966,0.002667267234308675,7.868411413580514e-05,5.765654603041598e-05,0.13994798747539286,0.6701949604754245
0.015719970703125,1341.4103840007456,4.449906282089934,0.23058457679101757,0.004226486581667161,0.0006001290689119675,7.050063252484541e-06,2.2619471094177673e-07,0.00034696944914020314,8.479977331378249e-05,0.0034385024275526647,0.01638799543134715,0.04970106824069234,0.009767497728651384,0.09894518794278226,0.0025558238430653905,0.002718409356991861,7.768408033263529e-05,5.652818444656711e-05,0.14087119194187042,0.6702144496912708
0.015721289062499998,1346.014690798877,4.465293850020555,0.22978997380222374,0.004082499121133005,0.0005904654237874282,7.064759604889139e-06,2.30062415313789e-07,0.00034226740220231013,8.440341299531461e-05,0.00349183990576339,0.01650211935860589,0.049220204772905854,0.009869502293613013,0.09827408604201827,0.00261162868589,0.002770095441464306,7.66942941061763e-05,5.542369383321393e-05,0.14178719939845408,0.6702342759312075
0.015722607421875,1350.5567098362492,4.480476075859874,0.22901132367247146,0.003941816914884915,0.0005805270358151297,7.072370931955723e-06,2.3375044482594427e-07,0.0003374022741612162,8.39407906120106e-05,0.0035454760426541347,0.01661307509079494,0.04874183684976991,0.009970914005540312,0.09760704810323483,0.0026679594553958483,0.0028223098541924354,7.571507902380443e-05,5.434301133690916e-05,0.1426958858282599,0.6702544435429469
0.01572392578125,1355.0365460086957,4.49545310452045,0.2282483507132532,0.0038044440668353447,0.0005703366440117827,7.0729263306900245e-06,2.3724901195288935e-07,0.00033238355213904586,8.34134107668834e-05,0.003599403107201974,0.016720827158877394,0.04826602522168689,0.010071698037925696,0.09694420746033987,0.0027247935307762997,0.002875036406950022,7.47467443555444e-05,5.328606156284403e-05,0.1435971320899786,0.6702749563312492
0.015725244140624997,1359.4543502428892,4.510225234668402,0.2275007795461153,0.0036703803946644222,0.0005599170541264004,7.066478185031943e-06,2.405488954108503e-07,0.00032722091218836437,8.282292071191205e-05,0.0036536133575447664,0.016825344335871247,0.047792831102838246,0.010171819950652255,0.0962856933234283,0.002782107340487078,0.002928258377864056,7.37895843587831e-05,5.225275631871654e-05,0.1444908239894262,0.6702958175724387
